time,temperature,humidity,pressure
2025-02-28,3.4,96,1020.8
2025-03-01,3.4,88,1029.5
2025-03-02,3.5,85,1032.7
2025-03-03,5.5,73,1028.8
2025-03-04,4.8,69,1026.0
2025-03-05,6.8,62,1023.7
2025-03-06,7.6,67,1020.9
2025-03-07,8.5,69,1020.0
2025-03-08,8.7,63,1017.3
2025-03-09,8.3,72,1008.6
2025-03-10,7.5,77,1000.8
2025-03-11,4.8,88,1000.7
2025-03-12,5.3,86,999.6
2025-03-13,4.4,80,998.1
2025-03-14,4.4,79,1006.2
2025-03-15,3.9,85,1018.4
2025-03-16,3.4,77,1019.8
2025-03-17,2.5,62,1028.4
2025-03-18,1.6,53,1032.1
2025-03-19,3.6,52,1028.7
2025-03-20,6.5,65,1024.4
2025-03-21,8.8,62,1021.4
2025-03-22,8.5,60,1015.9
2025-03-23,9.5,65,1008.5
2025-03-24,10.2,78,1011.7
2025-03-25,8.8,80,1016.8
2025-03-26,7.9,80,1018.8
2025-03-27,6.3,84,1021.5
2025-03-28,7.7,79,1014.8
2025-03-29,8.9,75,1012.4
2025-03-30,5.8,82,1011.1
2025-03-31,7.2,81,1018.5
2025-04-01,8.0,73,1028.1
2025-04-02,8.4,75,1028.2
2025-04-03,10.4,68,1027.6
2025-04-04,12.6,71,1021.6
2025-04-05,6.7,62,1019.4
2025-04-06,3.6,58,1026.4
2025-04-07,7.3,57,1024.9
2025-04-08,8.3,62,1027.1
2025-04-09,9.4,56,1022.3
2025-04-10,8.9,68,1022.8
2025-04-11,9.8,73,1015.9
2025-04-12,12.6,70,1014.5
2025-04-13,15.1,61,1006.6
2025-04-14,15.8,62,1009.8
2025-04-15,16.6,64,1004.8
2025-04-16,18.8,63,1007.1
2025-04-17,20.2,58,1005.9
2025-04-18,12.9,82,1008.4
2025-04-19,9.3,86,1009.7
2025-04-20,12.4,72,1007.5
2025-04-21,14.4,75,1009.9
2025-04-22,13.5,77,1015.7
2025-04-23,12.9,82,1017.2
2025-04-24,13.0,67,1015.6
2025-04-25,11.3,63,1019.6
2025-04-26,10.3,50,1025.9
2025-04-27,11.1,44,1028.4
2025-04-28,14.2,40,1026.8
2025-04-29,16.0,51,1025.0
2025-04-30,16.9,61,1023.8
2025-05-01,18.7,50,1021.3
2025-05-02,20.6,45,1013.7
2025-05-03,15.1,64,1009.2
2025-05-04,11.5,62,1008.0
2025-05-05,9.1,57,1017.3
2025-05-06,9.4,58,1018.0
2025-05-07,11.3,50,1020.3
2025-05-08,11.5,42,1019.8
2025-05-09,13.4,42,1020.7
2025-05-10,14.4,55,1020.5
2025-05-11,12.5,52,1019.9
2025-05-12,12.5,43,1018.6
2025-05-13,14.6,43,1020.2
2025-05-14,16.8,47,1013.8
2025-05-15,12.1,54,1014.4
2025-05-16,12.0,62,1015.5
2025-05-17,11.1,67,1012.4
2025-05-18,10.5,75,1012.4
2025-05-19,12.5,80,1016.8
2025-05-20,16.3,65,1016.3
2025-05-21,17.0,50,1009.7
2025-05-22,11.9,52,1008.9
2025-05-23,9.2,64,1013.2
2025-05-24,11.9,59,1015.7
2025-05-25,14.2,72,1011.4
2025-05-26,15.5,70,1013.9
